商品コード,商品名,販売単価,商品分類,分類名,商品区分,区分名
0026,貴金属－－－－－－－－－－－－－－－－－－００２６,9760,B01,貴金属,0,通常商品
0065,パン－－－－－－－－－－－－－－－－－－－００６５,2630,A03,パン,0,通常商品
0064,米－－－－－－－－－－－－－－－－－－－－００６４,5200,A05,米,0,通常商品
0058,冷凍食品－－－－－－－－－－－－－－－－－００５８,9710,A06,冷凍食品,0,通常商品
0057,スポーツ用品－－－－－－－－－－－－－－－００５７,4020,G20,スポーツ用品,0,通常商品
0055,パソコン本体－－－－－－－－－－－－－－－００５５,1940,P01,パソコン本体,0,通常商品
0054,冷凍食品－－－－－－－－－－－－－－－－－００５４,9420,A06,冷凍食品,0,通常商品
0051,魚－－－－－－－－－－－－－－－－－－－－００５１,2250,A04,魚,0,通常商品
0047,清涼飲料水－－－－－－－－－－－－－－－－００４７,8740,A10,清涼飲料水,0,通常商品
0043,家具－－－－－－－－－－－－－－－－－－－００４３,4200,K20,家具,0,通常商品
0040,パソコン本体－－－－－－－－－－－－－－－００４０,4730,P01,パソコン本体,0,通常商品
0039,パン－－－－－－－－－－－－－－－－－－－００３９,7440,A03,パン,0,通常商品
0035,照明－－－－－－－－－－－－－－－－－－－００３５,2050,K02,照明,0,通常商品
0066,風邪薬－－－－－－－－－－－－－－－－－－００６６,4950,M01,風邪薬,0,通常商品
0031,パソコン周辺機器－－－－－－－－－－－－－００３１,5020,P02,パソコン周辺機器,0,通常商品
0052,酒－－－－－－－－－－－－－－－－－－－－００５２,3360,A20,酒,0,通常商品
0023,化粧品－－－－－－－－－－－－－－－－－－００２３,7170,B10,化粧品,0,通常商品
0022,野菜－－－－－－－－－－－－－－－－－－－００２２,9670,A01,野菜,0,通常商品
0021,パソコンサプライ－－－－－－－－－－－－－００２１,2200,P03,パソコンサプライ,0,通常商品
0020,風邪薬－－－－－－－－－－－－－－－－－－００２０,2300,M01,風邪薬,0,通常商品
0018,消臭剤－－－－－－－－－－－－－－－－－－００１８,7030,Z50,消臭剤,0,通常商品
0014,ゲーム機－－－－－－－－－－－－－－－－－００１４,7100,G01,ゲーム機,0,通常商品
0013,一般衣類－－－－－－－－－－－－－－－－－００１３,8420,D01,一般衣類,0,通常商品
0012,家具－－－－－－－－－－－－－－－－－－－００１２,2360,K20,家具,0,通常商品
0010,貴金属－－－－－－－－－－－－－－－－－－００１０,580,B01,貴金属,0,通常商品
0009,果物－－－－－－－－－－－－－－－－－－－０００９,5300,A07,果物,0,通常商品
0008,電池－－－－－－－－－－－－－－－－－－－０００８,610,K50,電池,0,通常商品
0006,一般家電－－－－－－－－－－－－－－－－－０００６,6030,K01,一般家電,0,通常商品
0004,パン－－－－－－－－－－－－－－－－－－－０００４,2180,A03,パン,0,通常商品
0034,清涼飲料水－－－－－－－－－－－－－－－－００３４,400,A10,清涼飲料水,0,通常商品
0083,電池－－－－－－－－－－－－－－－－－－－００８３,2350,K50,電池,0,通常商品
0092,パン－－－－－－－－－－－－－－－－－－－００９２,8280,A03,パン,0,通常商品
0090,消臭剤－－－－－－－－－－－－－－－－－－００９０,3650,Z50,消臭剤,0,通常商品
0089,一般家電－－－－－－－－－－－－－－－－－００８９,5650,K01,一般家電,0,通常商品
0094,果物－－－－－－－－－－－－－－－－－－－００９４,1330,A07,果物,0,通常商品
0088,魚－－－－－－－－－－－－－－－－－－－－００８８,6820,A04,魚,0,通常商品
0077,パソコン本体－－－－－－－－－－－－－－－００７７,8350,P01,パソコン本体,0,通常商品
0076,ゲームソフト－－－－－－－－－－－－－－－００７６,9800,G02,ゲームソフト,0,通常商品
0080,パソコンサプライ－－－－－－－－－－－－－００８０,7460,P03,パソコンサプライ,0,通常商品
0075,化粧品－－－－－－－－－－－－－－－－－－００７５,5910,B10,化粧品,0,通常商品
0079,果物－－－－－－－－－－－－－－－－－－－００７９,3280,A07,果物,0,通常商品
0099,ゲーム機－－－－－－－－－－－－－－－－－００９９,7590,G01,ゲーム機,0,通常商品
0074,インスタントラーメン－－－－－－－－－－－００７４,9800,A02,インスタントラーメン,0,通常商品
0073,パソコン本体－－－－－－－－－－－－－－－００７３,780,P01,パソコン本体,0,通常商品
0072,一般衣類－－－－－－－－－－－－－－－－－００７２,7050,D01,一般衣類,0,通常商品
0100,発泡酒－－－－－－－－－－－－－－－－－－０１００,4790,A21,発泡酒,0,通常商品
0085,野菜－－－－－－－－－－－－－－－－－－－００８５,8890,A01,野菜,0,通常商品
0087,ドリンク－－－－－－－－－－－－－－－－－００８７,4030,M05,ドリンク,1,特別商品
0027,魚－－－－－－－－－－－－－－－－－－－－００２７,9240,A04,魚,1,特別商品
0024,電池－－－－－－－－－－－－－－－－－－－００２４,8370,K50,電池,1,特別商品
0028,風邪薬－－－－－－－－－－－－－－－－－－００２８,1780,M01,風邪薬,1,特別商品
0091,一般家電－－－－－－－－－－－－－－－－－００９１,5380,K01,一般家電,1,特別商品
0019,発泡酒－－－－－－－－－－－－－－－－－－００１９,9210,A21,発泡酒,1,特別商品
0029,ドリンク－－－－－－－－－－－－－－－－－００２９,10010,M05,ドリンク,1,特別商品
0025,ドリンク－－－－－－－－－－－－－－－－－００２５,3640,M05,ドリンク,1,特別商品
0017,インスタントラーメン－－－－－－－－－－－００１７,9810,A02,インスタントラーメン,1,特別商品
0016,一般衣類－－－－－－－－－－－－－－－－－００１６,5310,D01,一般衣類,1,特別商品
0030,ゲーム機－－－－－－－－－－－－－－－－－００３０,9230,G01,ゲーム機,1,特別商品
0093,アウトドア用品－－－－－－－－－－－－－－００９３,2960,G21,アウトドア用品,1,特別商品
0037,米－－－－－－－－－－－－－－－－－－－－００３７,5850,A05,米,1,特別商品
0095,一般家電－－－－－－－－－－－－－－－－－００９５,7850,K01,一般家電,1,特別商品
0011,スポーツ用品－－－－－－－－－－－－－－－００１１,680,G20,スポーツ用品,1,特別商品
0096,冷凍食品－－－－－－－－－－－－－－－－－００９６,6250,A06,冷凍食品,1,特別商品
0097,ゲーム機－－－－－－－－－－－－－－－－－００９７,8300,G01,ゲーム機,1,特別商品
0098,パソコンサプライ－－－－－－－－－－－－－００９８,3970,P03,パソコンサプライ,1,特別商品
0007,一般衣類－－－－－－－－－－－－－－－－－０００７,4320,D01,一般衣類,1,特別商品
0005,消臭剤－－－－－－－－－－－－－－－－－－０００５,4230,Z50,消臭剤,1,特別商品
0003,発泡酒－－－－－－－－－－－－－－－－－－０００３,2330,A21,発泡酒,1,特別商品
0002,果物－－－－－－－－－－－－－－－－－－－０００２,3040,A07,果物,1,特別商品
0015,風邪薬－－－－－－－－－－－－－－－－－－００１５,1820,M01,風邪薬,1,特別商品
0048,ゲームソフト－－－－－－－－－－－－－－－００４８,9760,G02,ゲームソフト,1,特別商品
0070,パソコン周辺機器－－－－－－－－－－－－－００７０,8640,P02,パソコン周辺機器,1,特別商品
0069,米－－－－－－－－－－－－－－－－－－－－００６９,5150,A05,米,1,特別商品
0068,カー用品－－－－－－－－－－－－－－－－－００６８,6820,G22,カー用品,1,特別商品
0067,一般衣類－－－－－－－－－－－－－－－－－００６７,3480,D01,一般衣類,1,特別商品
0063,パソコン周辺機器－－－－－－－－－－－－－００６３,1420,P02,パソコン周辺機器,1,特別商品
0062,家具－－－－－－－－－－－－－－－－－－－００６２,2850,K20,家具,1,特別商品
0061,米－－－－－－－－－－－－－－－－－－－－００６１,7120,A05,米,1,特別商品
0060,発泡酒－－－－－－－－－－－－－－－－－－００６０,2970,A21,発泡酒,1,特別商品
0059,一般家電－－－－－－－－－－－－－－－－－００５９,7920,K01,一般家電,1,特別商品
0056,電池－－－－－－－－－－－－－－－－－－－００５６,7240,K50,電池,1,特別商品
0078,魚－－－－－－－－－－－－－－－－－－－－００７８,9640,A04,魚,1,特別商品
0053,電池－－－－－－－－－－－－－－－－－－－００５３,1010,K50,電池,1,特別商品
0084,ドリンク－－－－－－－－－－－－－－－－－００８４,4940,M05,ドリンク,1,特別商品
0049,発泡酒－－－－－－－－－－－－－－－－－－００４９,650,A21,発泡酒,1,特別商品
0041,電池－－－－－－－－－－－－－－－－－－－００４１,4430,K50,電池,1,特別商品
0032,パソコン本体－－－－－－－－－－－－－－－００３２,4660,P01,パソコン本体,1,特別商品
0033,貴金属－－－－－－－－－－－－－－－－－－００３３,8770,B01,貴金属,1,特別商品
0050,貴金属－－－－－－－－－－－－－－－－－－００５０,4750,B01,貴金属,1,特別商品
0036,一般家電－－－－－－－－－－－－－－－－－００３６,9150,K01,一般家電,1,特別商品
0071,ゲーム機－－－－－－－－－－－－－－－－－００７１,10050,G01,ゲーム機,1,特別商品
0001,スポーツ用品－－－－－－－－－－－－－－－０００１,8820,G20,スポーツ用品,1,特別商品
0082,発泡酒－－－－－－－－－－－－－－－－－－００８２,8130,A21,発泡酒,1,特別商品
0086,インスタントラーメン－－－－－－－－－－－００８６,10140,A02,インスタントラーメン,1,特別商品
0042,ゲーム機－－－－－－－－－－－－－－－－－００４２,9940,G01,ゲーム機,1,特別商品
0081,パソコンサプライ－－－－－－－－－－－－－００８１,4440,P03,パソコンサプライ,1,特別商品
0044,パン－－－－－－－－－－－－－－－－－－－００４４,6500,A03,パン,1,特別商品
0045,米－－－－－－－－－－－－－－－－－－－－００４５,7260,A05,米,1,特別商品
0046,スポーツ用品－－－－－－－－－－－－－－－００４６,3880,G20,スポーツ用品,1,特別商品
0038,スポーツ用品－－－－－－－－－－－－－－－００３８,2450,G20,スポーツ用品,1,特別商品
9901,値引き,0,,,9,非在庫
